address,bed_bath,more_info,price,status,zip_code
"195 N Harbor Dr APT 4109, Chicago, IL","1 bd · 2 ba · 1,150 sqft",http://www.zillow.com/homedetails/195-N-Harbor-Dr-APT-4109-Chicago-IL-60601/3871060_zpid/,"$550,000",Condo For Sale,60601
"340 E Randolph St APT 401, Chicago, IL","1 bd · 2 ba · 1,353 sqft",http://www.zillow.com/homedetails/340-E-Randolph-St-APT-401-Chicago-IL-60601/89886771_zpid/,"$899,000",Condo For Sale,60601
"363 E Wacker Dr # 7301, Chicago, IL","4 bds · 5 ba · 5,497 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-7301-Chicago-IL-60601/2098178726_zpid/,"$8,108,075",New Construction,60601
"155 N Harbor Dr # 2106-07, Chicago, IL","3 bds · 3 ba · 1,800 sqft",http://www.zillow.com/homedetails/155-N-Harbor-Dr-2106-07-Chicago-IL-60601/2099463442_zpid/,"$790,000",Condo For Sale,60601
"340 E Randolph St APT 501, Chicago, IL","2 bds · 3 ba · 1,681 sqft",http://www.zillow.com/homedetails/340-E-Randolph-St-APT-501-Chicago-IL-60601/89917563_zpid/,"$1,339,000",Condo For Sale,60601
"400 E Randolph St APT 1311, Chicago, IL",Studio · 1 ba · 650 sqft,http://www.zillow.com/homedetails/400-E-Randolph-St-APT-1311-Chicago-IL-60601/3869179_zpid/,"$320,000",Condo For Sale,60601
"200 N Dearborn St UNIT 2603, Chicago, IL",1 bd · 1 ba · 840 sqft,http://www.zillow.com/homedetails/200-N-Dearborn-St-UNIT-2603-Chicago-IL-60601/101409511_zpid/,"$275,000",Condo For Sale,60601
"340 E Randolph St APT 4406, Chicago, IL","3 bds · 3 ba · 2,354 sqft",http://www.zillow.com/homedetails/340-E-Randolph-St-APT-4406-Chicago-IL-60601/89908443_zpid/,"$2,500,000",Condo For Sale,60601
"340 E Randolph St APT 1803, Chicago, IL","2 bds · 2 ba · 1,567 sqft",http://www.zillow.com/homedetails/340-E-Randolph-St-APT-1803-Chicago-IL-60601/89949398_zpid/,"$1,575,000",Condo For Sale,60601
"363 E Wacker Dr # 3104, Chicago, IL","2 bds · 2 ba · 1,709 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3104-Chicago-IL-60601/2098683543_zpid/,"$1,840,593",New Construction,60601
"363 E Wacker Dr # 3304, Chicago, IL","2 bds · 2 ba · 1,710 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3304-Chicago-IL-60601/2096968134_zpid/,"$1,845,090",New Construction,60601
"200 N Dearborn St APT 4106, Chicago, IL","2 bds · 2 ba · 1,205 sqft",http://www.zillow.com/homedetails/200-N-Dearborn-St-APT-4106-Chicago-IL-60601/63701113_zpid/,"$539,000",Condo For Sale,60601
"400 E Randolph St APT 2410, Chicago, IL","2 bds · 2 ba · 1,250 sqft",http://www.zillow.com/homedetails/400-E-Randolph-St-APT-2410-Chicago-IL-60601/3869058_zpid/,"$440,000",Condo For Sale,60601
"420 E Waterside Dr UNIT 2312, Chicago, IL","2 bds · 2 ba · 1,586 sqft",http://www.zillow.com/homedetails/420-E-Waterside-Dr-UNIT-2312-Chicago-IL-60601/87710729_zpid/,"$900,000",Condo For Sale,60601
"363 E Wacker Dr # 3802, Chicago, IL","3 bds · 3 ba · 2,293 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3802-Chicago-IL-60601/2096968073_zpid/,"$2,047,649",New Construction,60601
"363 E Wacker Dr # 1907, Chicago, IL","1 bd · 2 ba · 1,299 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1907-Chicago-IL-60601/2098683590_zpid/,"$1,089,861",New Construction,60601
"222 N Columbus Dr APT 3106, Chicago, IL",1 bd · 1 ba · -- sqft,http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-3106-Chicago-IL-60601/2096881247_zpid/,"$249,500",Condo For Sale,60601
,,,,,60601
"225 N Columbus Dr UNIT 6109, Chicago, IL",1 bd · 1 ba · 687 sqft,http://www.zillow.com/homedetails/225-N-Columbus-Dr-UNIT-6109-Chicago-IL-60601/121076500_zpid/,"$449,900",Condo For Sale,60601
"363 E Wacker Dr # 3307, Chicago, IL","1 bd · 2 ba · 1,351 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3307-Chicago-IL-60601/2096968186_zpid/,"$1,152,403",New Construction,60601
"201 N Westshore Dr APT 1207, Chicago, IL","2 bds · 2 ba · 1,446 sqft",http://www.zillow.com/homedetails/201-N-Westshore-Dr-APT-1207-Chicago-IL-60601/70471162_zpid/,"$640,000",Condo For Sale,60601
"400 E Randolph St APT 2408, Chicago, IL",1 bd · 1 ba · 825 sqft,http://www.zillow.com/homedetails/400-E-Randolph-St-APT-2408-Chicago-IL-60601/3869506_zpid/,"$299,000",Condo For Sale,60601
"450 E Waterside Dr UNIT 907, Chicago, IL",Studio · 1 ba · 650 sqft,http://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-907-Chicago-IL-60601/89924869_zpid/,"$300,000",Condo For Sale,60601
"222 N Columbus Dr APT 4903, Chicago, IL","3 bds · 3 ba · 1,600 sqft",http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-4903-Chicago-IL-60601/80810815_zpid/,"$899,900",Condo For Sale,60601
"201 N Westshore Dr APT 2206, Chicago, IL",1 bd · 1 ba · 710 sqft,http://www.zillow.com/homedetails/201-N-Westshore-Dr-APT-2206-Chicago-IL-60601/70449677_zpid/,"$375,000",Condo For Sale,60601
"225 N Columbus Dr UNIT 6105, Chicago, IL","3 bds · 3 ba · 2,000 sqft",http://www.zillow.com/homedetails/225-N-Columbus-Dr-UNIT-6105-Chicago-IL-60601/121072677_zpid/,"$1,975,000",Condo For Sale,60601
"225 N Columbus Dr UNIT 5809, Chicago, IL",1 bd · 1 ba · 687 sqft,http://www.zillow.com/homedetails/225-N-Columbus-Dr-UNIT-5809-Chicago-IL-60601/121074097_zpid/,"$441,000",Condo For Sale,60601
"450 E Waterside Dr UNIT 2806, Chicago, IL",1 bd · 1 ba · 906 sqft,http://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-2806-Chicago-IL-60601/89967689_zpid/,"$418,000",Condo For Sale,60601
